iter	RMSE
0	14.25065187
1	13.34786007
2	12.50706264
3	11.72594211
4	11.06406537
5	10.471515
6	9.947867494
7	9.48117187
8	9.084959919
9	8.688096646
10	8.323244285
11	8.011485821
12	7.743297286
13	7.514012702
14	7.271923635
15	7.080268797
16	6.88915222
17	6.72617383
18	6.563046855
19	6.446070356
20	6.335116079
21	6.242847835
22	6.135203212
23	6.028303803
24	5.948973805
25	5.8809602
26	5.81425999
27	5.768781199
28	5.718726021
29	5.667254927
30	5.614695721
31	5.573459463
32	5.530592362
33	5.485449851
34	5.448241443
35	5.419399864
36	5.396964232
37	5.37627254
38	5.346238141
39	5.326467789
40	5.306768452
41	5.277299264
42	5.258540304
43	5.238947673
44	5.219048343
45	5.200464312
46	5.180753966
47	5.162928937
48	5.153233485
49	5.136896044
50	5.13108091
51	5.119834865
52	5.105806859
53	5.101893739
54	5.089709107
55	5.076231039
56	5.061604263
57	5.0474772
58	5.036817651
59	5.021757437
60	5.010922099
61	4.994023235
62	4.98289671
63	4.975750406
64	4.965114601
65	4.950107961
66	4.939015325
67	4.932349466
68	4.918567276
69	4.906202052
70	4.897524535
71	4.888840979
72	4.87753806
73	4.866416692
74	4.847873583
75	4.836882958
76	4.830827339
77	4.824846229
78	4.810819456
79	4.798749569
80	4.793465231
81	4.781660684
82	4.771709055
83	4.766340596
84	4.75534887
85	4.745737006
86	4.73234222
87	4.724145266
88	4.717093554
89	4.713312675
90	4.704144299
91	4.687432729
92	4.6735082
93	4.664175668
94	4.64853046
95	4.640223466
96	4.629410589
97	4.61632921
98	4.608360508
99	4.598597446
