iter	Passed	Remaining
0	1	107
1	1	78
2	2	66
3	2	59
4	2	54
5	3	51
6	3	48
7	4	46
8	4	44
9	4	43
10	5	41
11	5	41
12	6	40
13	6	39
14	6	38
15	7	37
16	7	37
17	7	36
18	8	35
19	8	34
20	9	34
21	9	33
22	9	32
23	10	32
24	10	31
25	10	31
26	11	30
27	11	30
28	12	29
29	12	29
30	12	28
31	13	28
32	13	27
33	13	26
34	14	26
35	14	25
36	14	25
37	15	25
38	15	24
39	16	24
40	16	23
41	16	23
42	17	22
43	17	22
44	17	21
45	18	21
46	18	21
47	19	20
48	19	20
49	20	20
50	20	19
51	20	19
52	21	18
53	21	18
54	21	17
55	22	17
56	22	16
57	22	16
58	23	16
59	23	15
60	23	15
61	24	14
62	24	14
63	25	14
64	25	13
65	25	13
66	26	12
67	26	12
68	26	12
69	27	11
70	27	11
71	28	10
72	28	10
73	28	10
74	29	9
75	29	9
76	29	8
77	30	8
78	30	8
79	30	7
80	31	7
81	31	6
82	32	6
83	32	6
84	32	5
85	33	5
86	33	5
87	33	4
88	34	4
89	34	3
90	34	3
91	35	3
92	35	2
93	36	2
94	36	1
95	37	1
96	37	1
97	37	0
98	38	0
99	38	0
