iter	RMSE
0	14.65774193
1	14.27912538
2	13.9385226
3	13.60951675
4	13.3542209
5	13.01889384
6	12.70147864
7	12.38289715
8	12.10222053
9	11.87092559
10	11.62551507
11	11.36698277
12	11.17290517
13	10.92475337
14	10.70257538
15	10.4666059
16	10.25349244
17	10.03654351
18	9.837390977
19	9.631567824
20	9.453639978
21	9.284085624
22	9.135118117
23	8.965188687
24	8.810748927
25	8.653852265
26	8.553200247
27	8.422079149
28	8.302407593
29	8.202994915
30	8.102571092
31	7.99355909
32	7.891460446
33	7.779631257
34	7.672446033
35	7.577439814
36	7.470277612
37	7.404914922
38	7.313013787
39	7.220664614
40	7.152628403
41	7.073232984
42	7.002257812
43	6.957408637
44	6.880560823
45	6.820590498
46	6.754249903
47	6.717819911
48	6.663878858
49	6.60650048
50	6.551228912
51	6.493752455
52	6.450610934
53	6.398297787
54	6.364472199
55	6.322786539
56	6.281700118
57	6.242082091
58	6.203978429
59	6.157825878
60	6.128521648
61	6.092585335
62	6.060633721
63	6.032681934
64	6.00127088
65	5.970247974
66	5.946669855
67	5.924203358
68	5.910381868
69	5.883456559
70	5.859740984
71	5.829999104
72	5.812584127
73	5.791436433
74	5.766818608
75	5.742782502
76	5.722727275
77	5.705088819
78	5.693993875
79	5.680926471
80	5.66593716
81	5.652197301
82	5.639266008
83	5.61854909
84	5.596966925
85	5.582721612
86	5.567222398
87	5.551130441
88	5.539851364
89	5.531109018
90	5.516131751
91	5.500199166
92	5.486539871
93	5.481434076
94	5.465377471
95	5.459076223
96	5.45237332
97	5.442867052
98	5.432286127
99	5.420251928
100	5.408635528
101	5.400664896
102	5.388086217
103	5.376217889
104	5.366169357
105	5.35780534
106	5.350291329
107	5.341339162
108	5.332500132
109	5.33047373
110	5.324951696
111	5.322005532
112	5.314251021
113	5.308278809
114	5.303830492
115	5.297482235
116	5.295101166
117	5.293958821
118	5.286592099
119	5.282959782
120	5.273172682
121	5.269544886
122	5.265959477
123	5.264318758
124	5.255990651
125	5.250012694
126	5.246938533
127	5.241199362
128	5.232639803
129	5.223123886
130	5.221057327
131	5.219500697
132	5.215162782
133	5.211676965
134	5.20568836
135	5.202242604
136	5.19812521
137	5.191438673
138	5.187137621
139	5.176692218
140	5.174797016
141	5.16923802
142	5.161513916
143	5.154111539
144	5.152846261
145	5.151757243
146	5.151032165
147	5.149444356
148	5.147824337
149	5.145821972
150	5.144600839
151	5.137613986
152	5.131890187
153	5.123453652
154	5.11913346
155	5.113405184
156	5.107856121
157	5.103938943
158	5.100580966
159	5.092461231
160	5.085234079
161	5.082709628
162	5.074384859
163	5.070982873
164	5.068521091
165	5.066376105
166	5.063297639
167	5.061407996
168	5.056223461
169	5.051741575
170	5.046433694
171	5.045529055
172	5.043223985
173	5.040529698
174	5.032683976
175	5.028335362
176	5.026093179
177	5.02169521
178	5.018975436
179	5.014682374
180	5.012168642
181	5.011869508
182	5.002754406
183	5.000863389
184	4.996268042
185	4.99508709
186	4.993294032
187	4.991527967
188	4.98673664
189	4.984455813
190	4.980967734
191	4.978384614
192	4.974645796
193	4.970706163
194	4.965983268
195	4.960268297
196	4.956400999
197	4.949836459
198	4.947162598
199	4.943796364
200	4.940166187
201	4.937495485
202	4.93580259
203	4.934121577
204	4.930423185
205	4.930137342
206	4.928541106
207	4.928333979
208	4.927632161
209	4.923040719
210	4.920756954
211	4.915664871
212	4.913961196
213	4.910781328
214	4.909077169
215	4.906816605
216	4.905905786
217	4.899879641
218	4.894641638
219	4.890215061
220	4.888030948
221	4.884236872
222	4.883819249
223	4.883689925
224	4.879966766
225	4.878806548
226	4.878535532
227	4.875301195
228	4.873057198
229	4.867853571
230	4.863352427
231	4.860082722
232	4.854856232
233	4.851497068
234	4.850763528
235	4.850522266
236	4.846097742
237	4.844190729
238	4.844178217
239	4.844043819
240	4.842032394
241	4.841677733
242	4.835588326
243	4.833693709
244	4.82798133
245	4.825906059
246	4.824369342
247	4.820902644
248	4.816742542
249	4.815832822
250	4.811930872
251	4.809040167
252	4.806986956
253	4.806736906
254	4.805516411
255	4.803460875
256	4.800893487
257	4.799828932
258	4.795736841
259	4.793287594
260	4.789081331
261	4.787597357
262	4.78381534
263	4.777598033
264	4.772437335
265	4.770963912
266	4.76868093
267	4.767150397
268	4.765283862
269	4.764656752
270	4.759875807
271	4.755676253
272	4.753691975
273	4.749654658
274	4.74794328
275	4.746238099
276	4.744916044
277	4.744799886
278	4.742178568
279	4.739461353
280	4.735936843
281	4.730988822
282	4.730601523
283	4.730433463
284	4.728859464
285	4.727873666
286	4.719046584
287	4.714986052
288	4.714416822
289	4.712448087
290	4.706231389
291	4.705243968
292	4.705100721
293	4.701741836
294	4.701099267
295	4.697878466
296	4.692771533
297	4.691708495
298	4.690135181
299	4.688000885
300	4.684257909
301	4.680987217
302	4.678450773
303	4.677724184
304	4.669676832
305	4.669598001
306	4.6643669
307	4.662909161
308	4.656016382
309	4.655676406
310	4.655114367
311	4.64994229
312	4.649517694
313	4.649334148
314	4.647230478
315	4.642107702
316	4.639463068
317	4.636736173
318	4.636182572
319	4.633542605
320	4.630549043
321	4.627251048
322	4.622609381
323	4.620477854
324	4.619446148
325	4.617715618
326	4.614916007
327	4.612829908
328	4.609665967
329	4.608482098
330	4.606252467
331	4.604434398
332	4.600169928
333	4.596516728
334	4.595148269
335	4.591256879
336	4.590139566
337	4.584894175
338	4.584495199
339	4.584209498
