iter	Passed	Remaining
0	142	142400
1	143	71574
2	143	47821
3	144	36041
4	145	28955
5	145	24169
6	146	20751
7	146	18176
8	146	16176
9	147	14573
10	147	13278
11	148	12201
12	148	11283
13	148	10492
14	149	9838
15	150	9236
16	150	8703
17	150	8229
18	151	7817
19	151	7434
20	152	7088
21	152	6772
22	152	6493
23	153	6231
24	153	5994
25	154	5774
26	154	5568
27	154	5377
28	155	5198
29	155	5035
30	156	4879
31	156	4733
32	156	4596
33	157	4467
34	157	4348
35	158	4234
36	158	4127
37	158	4024
38	159	3927
39	159	3835
40	160	3747
41	160	3663
42	160	3582
43	161	3506
44	161	3432
45	162	3364
46	162	3298
47	163	3233
48	163	3170
49	163	3111
50	164	3054
51	164	3000
52	165	2948
53	165	2897
54	165	2848
55	166	2800
56	166	2757
57	167	2713
58	167	2672
59	167	2631
60	168	2591
61	168	2552
62	169	2514
63	169	2477
64	169	2442
65	170	2407
66	170	2373
67	170	2341
68	171	2310
69	171	2280
70	172	2251
71	172	2223
72	172	2196
73	173	2169
74	173	2143
75	174	2118
76	174	2092
77	174	2068
78	175	2044
79	175	2020
80	176	1997
81	176	1975
82	176	1951
83	176	1930
84	177	1909
85	177	1889
86	178	1870
87	178	1851
88	178	1831
89	179	1813
90	179	1795
91	180	1777
92	180	1760
93	180	1743
94	181	1726
95	181	1710
96	181	1693
97	182	1677
98	182	1662
99	183	1647
100	183	1632
101	183	1617
102	184	1603
103	184	1590
104	184	1576
105	185	1563
106	185	1549
107	186	1536
108	186	1523
109	186	1510
110	187	1499
111	187	1487
112	188	1476
113	188	1464
114	188	1453
115	189	1442
116	189	1430
117	190	1420
118	190	1410
119	190	1400
120	191	1390
121	191	1379
122	192	1369
123	192	1360
124	192	1350
125	193	1341
126	193	1331
127	194	1321
128	194	1312
129	194	1304
130	195	1295
131	195	1286
132	196	1278
133	196	1270
134	196	1262
135	197	1253
136	197	1245
137	198	1237
138	198	1230
139	199	1222
140	199	1214
141	199	1206
142	199	1198
143	200	1191
144	200	1184
145	201	1177
146	201	1170
147	202	1163
148	202	1157
149	203	1151
150	203	1145
151	204	1138
152	204	1132
153	205	1126
154	205	1120
155	205	1114
156	206	1107
157	206	1101
158	207	1095
159	207	1090
160	207	1083
161	208	1077
162	208	1072
163	209	1066
164	209	1060
165	210	1055
166	210	1050
167	210	1044
168	211	1039
169	211	1034
170	212	1028
171	212	1023
172	213	1018
173	213	1013
174	213	1008
175	214	1003
176	214	998
177	215	992
178	215	987
179	215	982
180	216	978
181	216	973
182	217	969
183	217	964
184	217	960
185	218	955
186	218	950
187	219	946
188	219	942
189	220	938
190	220	934
191	220	929
192	221	925
193	221	921
194	222	917
195	222	913
196	222	908
197	223	904
198	223	900
199	224	896
200	224	892
201	224	888
202	225	885
203	225	881
204	226	877
205	226	873
206	227	869
207	227	865
208	227	862
209	228	858
210	228	854
211	228	851
212	229	847
213	229	843
214	230	840
215	230	836
216	230	833
217	231	829
218	231	826
219	232	823
220	232	819
221	232	816
222	233	813
223	233	809
224	234	806
225	234	803
226	235	800
227	235	797
228	235	794
229	236	791
230	236	788
231	237	785
232	237	782
233	238	779
234	238	776
235	239	774
236	239	771
237	239	768
238	240	765
239	240	762
240	241	759
241	241	756
242	241	753
243	242	750
244	242	748
245	243	745
246	243	742
247	243	739
248	244	736
249	244	733
250	245	731
251	245	728
252	245	725
253	246	722
254	246	720
255	246	717
256	247	714
257	247	712
258	247	709
259	248	706
260	248	704
261	249	701
262	249	698
263	249	696
264	250	693
265	250	691
266	251	689
267	251	687
268	251	684
269	252	682
270	252	679
271	253	677
272	253	675
273	253	672
274	254	670
275	254	668
276	255	665
277	255	663
278	255	661
279	256	658
280	256	656
281	256	654
282	257	651
283	257	649
284	258	647
285	258	645
286	258	642
287	259	640
288	259	638
289	259	636
290	260	634
291	260	631
292	260	629
293	261	627
294	261	625
295	262	623
296	262	621
297	262	619
298	263	617
299	263	614
300	263	612
301	264	610
302	264	608
303	265	606
304	265	604
305	265	602
306	266	600
307	266	598
308	266	596
309	267	594
310	267	592
311	267	590
312	268	588
313	268	587
314	269	585
315	269	583
316	269	581
317	270	579
318	270	577
319	270	575
320	271	573
321	271	571
322	271	570
323	272	568
324	272	566
325	273	564
326	273	562
327	273	561
328	274	559
329	274	557
330	274	555
331	275	554
332	275	552
333	276	550
334	276	548
335	276	547
336	277	545
337	277	543
338	277	541
339	278	540
340	278	538
341	279	536
342	279	535
343	279	533
344	280	532
345	280	530
346	281	528
347	281	527
348	281	525
349	282	524
350	282	522
351	283	521
352	283	519
353	283	518
354	284	516
355	284	514
356	285	513
357	285	511
358	285	510
359	286	508
360	286	507
361	286	505
362	287	504
363	287	502
364	287	500
365	288	499
366	288	497
367	288	496
368	289	494
369	289	493
370	290	491
371	290	490
372	290	488
373	291	487
374	291	486
375	292	484
376	292	483
377	292	481
378	293	480
379	293	479
380	294	477
381	294	476
382	294	474
383	295	473
384	295	472
385	295	470
386	296	469
387	296	468
388	297	466
389	297	465
390	297	463
391	298	462
392	298	461
393	298	459
394	299	458
395	299	457
396	300	455
397	300	454
398	300	453
399	301	451
400	301	450
401	301	449
402	302	447
403	302	446
404	303	445
405	303	443
406	303	442
407	304	441
408	304	439
409	304	438
410	305	437
411	305	436
412	305	434
413	306	433
414	306	432
415	306	430
416	307	429
417	307	428
418	308	427
419	308	425
420	308	424
421	309	423
422	309	422
423	309	420
424	310	419
425	310	418
426	311	417
427	311	416
428	311	415
429	312	414
430	312	413
431	313	411
432	313	410
433	314	409
434	314	408
435	314	407
436	315	406
437	315	405
438	316	404
439	316	402
440	316	401
441	317	400
442	317	399
443	317	398
444	318	397
445	318	395
446	319	394
447	319	393
448	319	392
449	320	391
450	320	390
451	321	389
452	321	388
453	321	386
454	322	385
455	322	384
456	322	383
457	323	382
458	323	381
459	323	380
460	324	379
461	324	378
462	325	377
463	325	375
464	325	374
465	326	373
466	326	372
467	326	371
468	327	370
469	327	369
470	328	368
471	328	367
472	328	366
473	329	365
474	329	364
475	329	363
476	330	362
477	330	360
478	330	359
479	331	358
480	331	357
481	332	356
482	332	355
483	332	354
484	333	353
485	333	352
486	333	351
487	334	350
488	334	349
489	334	348
490	335	347
491	335	346
492	336	345
493	336	344
494	336	343
495	337	342
496	337	341
497	337	340
498	338	339
499	338	338
500	338	337
501	339	336
502	339	335
503	340	334
504	340	333
505	340	332
506	341	331
507	341	330
508	342	329
509	342	329
510	342	328
511	343	327
512	343	326
513	344	325
514	344	324
515	345	323
516	345	322
517	345	321
518	346	320
519	346	319
520	346	318
521	347	318
522	347	317
523	348	316
524	348	315
525	348	314
526	349	313
527	349	312
528	349	311
529	350	310
530	350	309
531	351	308
532	351	307
533	351	307
534	352	306
535	352	305
536	353	304
537	353	303
538	353	302
539	354	301
540	354	300
541	354	299
542	355	299
543	355	298
544	356	297
545	356	296
546	356	295
547	357	294
548	357	293
549	358	292
550	358	292
551	358	291
552	359	290
553	359	289
554	359	288
555	360	287
556	360	286
557	361	286
558	361	285
559	361	284
560	362	283
561	362	282
562	362	281
563	363	280
564	363	279
565	363	279
566	364	278
567	364	277
568	365	276
569	365	275
570	365	274
571	366	274
572	366	273
573	366	272
574	367	271
575	367	270
576	368	269
577	368	269
578	368	268
579	369	267
580	369	266
